age,iso_res_C,iso_res_S,res_C,res_S,time,temperature,tempC,SAT_tropical,SAT_equator,P,O,A,S,G,C,PYR,GYP,N,OSr,SSr,d13c_A,delta_mccb,d34s_S,delta_G,delta_C,delta_PYR,delta_GYP,delta_OSr,DEGASS,W,EVO,CPLAND,Bforcing,BAS_AREA,GRAN_AREA,CO2(PPM),RCO2,O2,RO2,mrO2,VEG,ANOX,iceline,mocb,locb,mccb,mpsb,mgsb,silw,carbw,oxidw,basw,granw,phosw,psea,nfix,denit,pyrw,gypw,ocdeg,ccdeg,pyrdeg,gypdeg,sfw,Sr_granw,Sr_basw,Sr_sedw,Sr_mantle,dSSr,relativenewp,erosion_tot,time_myr
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999999.3,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.24E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.85027E+12,0,9.59018E+12,3.99038E+11,68843524580,5.38796E+12,4.20222E+12,3.06053E+11,6.23887E+11,4.76407E+12,21230624459,21230624459,1.20766E+13,1.66E+15,4.41233E+11,5.25278E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042238128,791271602.6,8929721676,14860422979,0.71,0.97,11827037626,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999999.2,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.21E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.80904E+12,0,9.59018E+12,3.93266E+11,68843527808,5.38796E+12,4.20222E+12,3.06053E+11,6.23887E+11,4.76407E+12,21230631565,21230631565,1.31312E+13,1.65E+15,4.41233E+11,5.25278E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042240222,791271875.7,8929724097,14860422981,0.71,0.97,11827039868,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999999,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.18E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.01,9,2.1,0.1,0.03,0,0.99,46.66,2.76846E+12,0,9.59019E+12,3.87584E+11,68843531073,5.38796E+12,4.20222E+12,3.06053E+11,6.23888E+11,4.76408E+12,21230638702,21230638702,1.42206E+13,1.64E+15,4.41234E+11,5.25278E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042242326,791272150,8929726529,14860422983,0.71,0.96,11827042119,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999997.6,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,3.96E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.01,9,2.1,0.1,0.03,0,0.99,46.66,2.48601E+12,0,9.59021E+12,3.48041E+11,68843556446,5.38798E+12,4.20223E+12,3.06054E+11,6.23889E+11,4.76409E+12,21230692668,21230692668,2.33061E+13,1.55E+15,4.41234E+11,5.25279E+11,1.39953E+12,1.83211E+13,0,0,3.21218E+12,6042258235,791274224.5,8929744920,14860422995,0.71,0.91,11827059145,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999996.2,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,3.75E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.02,9,2.1,0.1,0.03,0,0.98,46.66,2.2351E+12,0,9.59023E+12,3.12915E+11,68843583604,5.38799E+12,4.20224E+12,3.06054E+11,6.23891E+11,4.7641E+12,21230748114,21230748114,3.38474E+13,1.46E+15,4.41235E+11,5.2528E+11,1.39953E+12,1.83211E+13,0,0,3.21218E+12,6042274585,791276356.8,8929763822,14860423007,0.71,0.86,11827076643,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999994.8,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,3.56E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.03,9,2.1,0.1,0.03,0,0.98,46.66,2.01254E+12,0,9.59026E+12,2.81756E+11,68843612346,5.38801E+12,4.20225E+12,3.06055E+11,6.23893E+11,4.76411E+12,21230804874,21230804874,4.54802E+13,1.38E+15,4.41236E+11,5.25281E+11,1.39953E+12,1.83211E+13,0,0,3.21218E+12,6042291325,791278540.2,8929783178,14860423020,0.71,0.82,11827094559,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999993.4,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,3.38E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.03,9,2.1,0.1,0.03,0,0.97,46.66,1.81537E+12,0,9.59028E+12,2.54152E+11,68843642492,5.38802E+12,4.20226E+12,3.06056E+11,6.23894E+11,4.76413E+12,21230862798,21230862798,5.78836E+13,1.3E+15,4.41237E+11,5.25283E+11,1.39953E+12,1.83211E+13,0,0,3.21219E+12,6042308413,791280769.1,8929802935,14860423032,0.71,0.78,11827112846,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999992,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,3.22E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.04,9,2.1,0.1,0.03,0,0.96,46.66,1.64088E+12,0,9.59031E+12,2.29723E+11,68843673881,5.38804E+12,4.20227E+12,3.06056E+11,6.23896E+11,4.76414E+12,21230921753,21230921753,7.07787E+13,1.23E+15,4.41238E+11,5.25284E+11,1.39953E+12,1.83211E+13,0,0,3.21219E+12,6042325807,791283038.1,8929823047,14860423045,0.71,0.74,11827131462,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999990.6,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,3.06E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.05,9,2.1,0.1,0.03,0,0.95,46.66,1.4866E+12,0,9.59033E+12,2.08125E+11,68843706370,5.38805E+12,4.20228E+12,3.06057E+11,6.23898E+11,4.76416E+12,21230981620,21230981620,8.3926E+13,1.16E+15,4.41239E+11,5.25285E+11,1.39953E+12,1.83211E+13,0,0,3.21219E+12,6042343472,791285342.6,8929843475,14860423057,0.71,0.7,11827150369,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999987.5,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,2.75E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.07,9,2.1,0.1,0.03,0,0.93,46.66,1.20014E+12,0,9.59039E+12,1.68021E+11,68843783487,5.38809E+12,4.2023E+12,3.06058E+11,6.23902E+11,4.76419E+12,21231120239,21231120239,1.1367E+14,1.02E+15,4.41242E+11,5.25288E+11,1.39953E+12,1.83211E+13,0,0,3.2122E+12,6042384383,791290680.1,8929890784,14860423085,0.71,0.63,11827194153,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999984.3,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,2.49E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.09,9,2.1,0.1,0.03,0,0.9,46.66,9.84103E+11,0,9.59045E+12,1.37776E+11,68843864412,5.38813E+12,4.20232E+12,3.0606E+11,6.23907E+11,4.76422E+12,21231262014,21231262014,1.42002E+14,8.92493E+14,4.41244E+11,5.25291E+11,1.39953E+12,1.83211E+13,0,0,3.21221E+12,6042426234,791296140.6,8929939183,14860423113,0.71,0.57,11827238943,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,599999981.2,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.87E+20,5E+21,2.16E+20,2E+20,2.28E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520.11,9,2.1,0.1,0.03,0,0.87,46.66,8.21044E+11,0,9.59051E+12,1.14948E+11,68843948180,5.38817E+12,4.20235E+12,3.06061E+11,6.23911E+11,4.76425E+12,21231406147,21231406147,1.67914E+14,7.8889E+14,4.41247E+11,5.25293E+11,1.39953E+12,1.83211E+13,0,0,3.21222E+12,6042468786,791301693,8929988395,14860423141,0.71,0.52,11827284484,-600
